Status,Claim,Claim Type,Food,NEW Food Type,Food Type,Food Matrix OLD,Regulation specifications,NEW Food Matrix,Food Ontology Term,Food Amount OLD,NEW Food Amount,Unit,Value,Frequency,Target population,Target population ontology term,Extra information,Phenotype,Phenotype Ontology Term,Phenotype Onto Term Match,Relationship-effect,Health relationship,EFSA Opinion Reference,Supporting Evidence Text 1,Supporting Evidence Reference 1,Supporting Evidence Text 2,Supporting Evidence Reference 2,Supporting Evidence Text 3,Supporting Evidence Reference 3,Supporting Evidence Text 4,Supporting Evidence Reference 4,Supporting Evidence Text 5,Supporting Evidence Reference,Supporting Evidence Text 5,Supporting Evidence Reference 5,Supporting Evidence Text 6,Supporting Evidence Reference 6,Supporting Evidence Text 7,Supporting Evidence Reference 7,Supporting Evidence Text 8,Supporting Evidence Reference 8,Supporting Evidence Text 9,Supporting Evidence Reference 9
Finished,Melatonin contributes to the allevation of subjective feelings of jet lag,Art. 13(1),Melatonin,Compound,Substance,Food which contains at least 0.5mg of melatonin per quantified portion. ,,"Matrix: food (general)
Must contain: melatonin
- Unit: mg/portion
- Value: ≥0,5",https://foodb.ca/compounds/FDB004234,"0.5mg of melatonin per quantified portion, to be taken close to bedtime on the first day of travel and on the following few days after arrival at the destination. ","Unit: mg/portion
Value: 0,5
Precondition: consumed close to bedtime on first travel days",mg,"0,5",portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Decreased feelings of jet lag,http://purl.bioontology.org/ontology/SNOMEDCT/387604006,Close Match,Enhancing a function,Allevation of subjective feelings of jet lag,2010;8(2):1467,"The Cochrane Systematic Review (Herxheimer and Petrie, 2002, reviewed 2008) of randomised placebo-controlled trials with melatonin interventions for alleviating jet lag, which included the aforementioned two Petrie studies and the Arendt study along with eight other studies not included in the 17 references provided by Member States and stakeholders, had as primary measure subjective ratings of jet lag. The conclusions of this review were that melatonin (0.5 to 5 mg/day) is effective in preventing or reducing jet lag. The Panel considers that these findings indicate a role for melatonin in decreasing subjective ratings of jet lag scores.","Herxheimer and Petrie (2002, reviewed 2008): 10.1002/14651858/CD001520",,,,,,,,,,,,,,,,,,
Finished,Melatonin contributes to the reduction of time taken to fall asleep,Art. 13(1),Melatonin,Compound,Substance,Food which contains 1mg of melatonin per quantified portion. ,,"Matrix: food (general)
Must contain: melatonin
- Unit: mg/portion
- Value: 1",https://foodb.ca/compounds/FDB004234,1g of melatonin close to bedtime. ,"Unit: g/day
Value: 1
Precondition: consumed close to bedtime",g,1,day,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Reduction of sleep onset latency,http://www.informatics.jax.org/vocab/gene_ontology/GO:0042749,Close Match,Enhancing a function,Reduction of sleep onset latency,2011;9(6):2241,"The meta-analysis by Buscemi et al. (2004) considered controlled trials (published between 1966 and 2003) which had investigated the effect of melatonin administration on objective sleep outcome measures, including sleep onset latency, in adult normal sleepers. Sleep outcomes were measured by polysomnography, actigraphy or questionnaires. Twenty studies which compared the effect of melatonin (n=225 subjects) vs. placebo (n=206 subjects) met the inclusion criteria. Eighteen studies had a cross-over design. Study duration ranged from one night to five weeks. The doses of melatonin administered ranged from 0.1 to 100 mg, and were categorised according to the following levels: <1 mg; 1-3 mg; 4-5 mg; 6-10 mg; >10 mg. The meta-analysis was performed using a random effects model, and fixed effects were considered in a sensitivity analysis. Study quality was low-to-moderate (i.e. none of the studies reported a power calculation for the primary outcome, and although all studies involved a placebo control, many did not apply random allocation to the intervention group). The meta-analysis showed a statistically significant decrease in sleep onset latency following melatonin administration compared to placebo (combined weighted mean difference (WMD): -3.9 min; 95% CI -5.3, -2.6). The sub-group analysis regarding the dosage of melatonin showed a statistically significant decrease in sleep onset latency after melatonin administration compared to placebo for all considered dosage ranges (<1 mg, five studies; 1-3 mg, 10 studies; 4-5 mg, six studies; 6-10 mg, seven studies) except for the highest doses (>10 mg, two studies).",Buscemi et al. (2004): 10.1037/e439412005-001,"The meta-analysis by Buscemi et al. (2005) considered controlled studies (published between 1966 and 2004) which had investigated the effect of melatonin administration on objective sleep outcome measures, including sleep onset latency, in subjects with sleep disorders (insomnia, delayed sleep-phase syndrome). Sleep outcomes were measured by polysomnography, actigraphy or questionnaires. Fourteen studies, which compared the effect of melatonin administered before bedtime (n=218 subjects) vs. placebo (n=207 subjects), met the inclusion criteria. Eleven studies had a cross-over design. The studies were conducted in children (2 studies), adults aged 19-65 (7 studies), and adults aged 66 years and older (5 studies). The meta-analysis was performed using a random effects model, owing to the high heterogeneity observed in the study results. Study quality was ranked as moderate to high by the authors. The meta-analysis showed a statistically significant decrease in sleep onset latency after melatonin administration compared to placebo (WMD: -11.7 min; 95 % CI -18.2, -5.2). The sub-group analysis regarding the dosage of melatonin showed a statistically significant decrease in sleep onset latency after melatonin administration compared to placebo for the dosage ranges 1-3 mg (six studies), but not for <1 mg (two studies) or for 4-5 mg (seven studies). The Panel notes that, in the two meta-analyses (Buscemi et al., 2004; Buscemi et al., 2005), the lower end of the dose ranges of the sub-group analyses for which a significant effect of melatonin on sleep onset latency was consistently found is 1 mg.",Buscemi et al. (2005): 10.1111/j/1525-1497.2005.0243.x,"The meta-analysis by Brzezinski et al. (2005) included double-blind randomised controlled trials (published between 1980 and 2003) which investigated the effect of melatonin consumption on objective sleep outcome measures. Sleep outcomes were measured by polysomnography, actigraphy or the index finger switch depression method. Twelve of the 17 studies included in the meta-analysis provided measures of sleep onset latency. Six studies were conducted on healthy volunteers, four on subjects with insomnia, one on both healthy volunteers and insomniacs, and one on a combination of institutionalised and free-living subjects with insomnia. Sample size ranged from 6 to 30 subjects, all studies had a cross-over design with or without a wash-out phase, duration ranged from one night to three weeks, melatonin doses from 0.1 to 40 mg/day, and either one or multiple melatonin doses were tested in the same study. Considering these 12 studies (n=172 subjects), melatonin significantly reduced sleep onset latency by 3.9 min (95 % CI -2.5, -5.4) compared to placebo. Removing the two smallest studies (6 and 8 subjects, respectively) from the analysis, because of the presence of outliers in the data set or heterogeneity of the data, led to a reduction of sleep onset latency of 7.4 min (95 % CI -5.1, -9.8) in favour of melatonin. The Panel considers that the results of this meta-analysis can be used as evidence for the substantiation of the claim, but notes some methodological limitations, including the lack of extensive sensitivity analysis or adjustment for the different doses used in the various studies. ",Brzezinski et al. (2005): 10.1016/j.smrv.2004.06.004,,,,,,,,,,,,,,
Finished,Molybdenum contributes to normal sulphur amino acid metabolism,Art. 13(1),Molybdenum,Nutrient,Micronutrient,Food which is at least a source of molybdenum as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' as listed in Reg. No. 1924/2006,"50 μg

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 50 is 7,5","Matrix: food (general)
Must contain: molybdenum
- Unit: μg/100g or μg/100ml or μg/portion
- Value: ≥7,5",https://foodb.ca/compounds/FDB003653,,"Unit: μg/100g or μg/100ml or μg/portion
Value: ≥7,5",μg,"≥7,5",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal sulphur amino acid metabolism,http://www.informatics.jax.org/vocab/gene_ontology/GO:0000096 ,Exact Match,Maintenance of a function,Contribution to normal amino acid metabolism,2010;8(10):1745,"Molybdenum functions as a cofactor for some enzymes in humans, such as sulphite oxidase, xanthine oxidase (XO) and aldehyde oxidase, which are involved in sulphur amino acid metabolism and purine metabolism (IoM, 2001). Observations of molybdenum deficiency have been limited to genetic defects that interfere with the molybdenum cofactor’s ability to activate molybdoenzymes and to one case of feeding molybdenum-free total parenteral nutrition. Human dietary deficiency of molybdenum has not been reported (Eckhert, 2006).",IoM (2001): 10.17226/10026; Eckhert (2006): 10.1097/01.CCM.0000236502.51400.9F ,,,,,,,,,,,,,,,,,,
Finished,Monacolin K from red yeast rice contributes to the maintenance of normal blood cholesterol levels,Art. 13(1),Monascus purpureous (red yeast rice),Food,Food,Food which provides a daily intake of 10mg of monacolin K from red yeast rice,,"Matrix: food (general)
Must contain: monacolin K from fermented red yeast rice preparations
- Unit: mg/day
- Value: 10",,Daily intake of 10mg of monacolin K from fermented red yeast rice preparations,"Unit: mg/day
Value: 10",mg,10,day,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal blood cholesterol,http://purl.bioontology.org/ontology/MEDDRA/10005426,Exact Match,Maintenance of a function,Maintenance of normal blood LDL-cholesterol concentrations,2011;9(7):2304,"In a double-blind, randomised, placebo-controlled trial (RCT) (Heber et al., 1999), 88 subjects with hypercholesterolaemia, who were not taking lipid-lowering medications, received either fermented red yeast rice (Cholestin, 2.4 g/day) or a placebo (rice powder) in capsules daily for 12 weeks. The fermented red yeast rice preparation contained 0.3 % monacolin K (0.2 % in lactone form, 0.1 % in hydroxy acid form) by weight, corresponding to a daily dose of around 7.5 mg. The content of other monacolins was 0.1 %, i.e. 2.5 mg/day. A total of 83 subjects completed the study (n=42 in the treatment group vs. n=41 in the placebo group; 46 men and 37 women, 34-78 years). Significant differences between groups were observed at weeks 8 and 12 for LDL-cholesterol concentrations (p<0.001 at both time points, per protocol (PP) analysis) and total cholesterol concentrations (p<0.05 at both time points, PP analysis). ANCOVA showed main effects of baseline LDL-cholesterol/total cholesterol concentrations and treatment group on LDL-cholesterol/total cholesterol concentrations respectively at 12 week (p<0.001 for all). At week 12, the mean LDL-cholesterol concentrations in the treatment group was reduced by 22 % from baseline, compared with a 3 % reduction in the Monacolin K from red yeast rice related health claims EFSA Journal 2011;9(7):2304 7 placebo group. The mean total cholesterol concentration was reduced by 16 % in the treatment group compared to 2 % in the placebo group.",Heber et al (1999): 10.1093/ajcn/69.2.231,"In a double-blind RCT (Lin et al., 2005), 79 subjects with hypercholesterolaemia who were not taking lipid-lowering medications during the trial, received either fermented red yeast rice (Monascus purpureus Went rice, 1.2 g/day) or a placebo (grounded rice) daily for eight weeks. Patients taking lipid-lowering medications were considered after a four-week wash-out period, with the exception of probucol, which had to be discontinued for at least six months. The fermented red yeast rice preparation contained 0.95 % lovastatin by weight corresponding to a daily dose of around 11.4 mg. The Panel assumes that this dose corresponds to monacolin K in the lactone form only. The amount of monacolin K in its hydroxy acid form was not provided. The preparation also contained 0.21 % other monacolins by weight, i.e. 2.5 mg/day. A total of 75 subjects completed the study (n=38 in treatment group, 59 % men, vs. n=37 in placebo group, 55 % men; 23-65 years). At week eight, a significantly greater reduction in LDL-cholesterol concentrations was observed in the treatment group compared to the placebo group (-26.3 % vs. -1.4 %, p<0.001, intention-to-treat (ITT) analysis). The reduction in total cholesterol concentrations was also significantly higher in the treatment group than in the placebo group (-20.4 % vs. -0.4 % p<0.001, ITT analysis).",Lin et al (2005): 10.1530/eje/1/02012,"Pure monacolin K (lovastatin) has been shown to be effective in reducing total cholesterol and LDL-cholesterol concentrations in individuals with hypercholesterolaemia and is a well-known inhibitor of HMG-CoA reductase. A significant inhibitory effect of a fermented red yeast rice preparation (Cholestin) on HMG-CoA reductase activity and cholesterol concentrations was observed in vitro in human hepatic cells (HepG2) (Man et al., 2002).",Man et al (2002): 10.1023/a:1017487815091,,,,,,,,,,,,,,
Finished,Niacin contributes to normal energy-yielding metabolism,Art. 13(1),Niacin,Nutrient,Micronutrient,Food which is at least a source of niacin as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' as listed in Reg. No. 1924/2006,"16 mg

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 16 is 2,4","Matrix: food (general)
Must contain: niacin
- Unit: mg/100g or mg/100ml or mg/portion
- Value: ≥2,4",https://foodb.ca/compounds/FDB001014,,"Unit: mg/100g or mg/100ml or mg/portion
Value: ≥2,4",mg,"≥2,4",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal energy-yielding metabolism,http://www.informatics.jax.org/vocab/gene_ontology/GO:0006091,Exact Match,Maintenance of a function,Contribution to normal energy-yielding metabolism,"2009;7(9):1224, 2010;8(10):1757","Niacin supports energy-yielding metabolism as it is the functional factor of two important coenzymes, nicotinamide adenine dinucleotide (NAD) and nicotinamide adenine dinucleotide phosphate (NADP), which activate over 200 dehydrogenases essential to electron transport and other cellular respiratory reactions (Jacob, 2006; EVM, 2002; IoM, 2000)",Jacob (2006): ISBN 9781578812004; EVM (2002): link; IoM (2000): 10.17226/6015,,,,,,,,,,,,,,,,,,
Finished,Niacin contributes to normal functioning of the nervous system,Art. 13(1),Niacin,Nutrient,Micronutrient,Food which is at least a source of niacin as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' as listed in Reg. No. 1924/2006,"16 mg

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 16 is 2,4","Matrix: food (general)
Must contain: niacin
- Unit: mg/100g or mg/100ml or mg/portion
- Value: ≥2,4",https://foodb.ca/compounds/FDB001014,,"Unit: mg/100g or mg/100ml or mg/portion
Value: ≥2,4",mg,"≥2,4",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal functioning of the nervous system,http://www.informatics.jax.org/vocab/gene_ontology/GO:0031644,Close Match,Maintenance of a function,Function of the nervous system,2009;7(9):1224,"A combined deficiency of niacin and tryptophan causes the classical symptoms of pellagra. The clinical features of pellagra are dermatitis, diarrhoea and dementia. Neurological symptoms include depression, apathy, headache, fatigue and loss of memory (Jacob, 2006; EVM, 2002; IoM, 2000). ",Jacob (2006): ISBN 9781578812004; EVM (2002): link; IoM (2000): 10.17226/6015,,,,,,,,,,,,,,,,,,
Finished,Niacin contributes to normal psychological function,Art. 13(1),Niacin,Nutrient,Micronutrient,Food which is at least a source of niacin as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' as listed in Reg. No. 1924/2006,"16 mg

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 16 is 2,4","Matrix: food (general)
Must contain: niacin
- Unit: mg/100g or mg/100ml or mg/portion
- Value: ≥2,4",https://foodb.ca/compounds/FDB001014,,"Unit: mg/100g or mg/100ml or mg/portion
Value: ≥2,4",mg,"≥2,4",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal psychological function,http://purl.bioontology.org/ontology/SNOMEDCT/3850002 ,Exact Match,Maintenance of a function,Contribution to normal psychological functions,2010;8(10):1757,"A combined deficiency of niacin and tryptophan causes the classical symptoms of pellagra. The clinical features of pellagra are dermatitis, diarrhoea and dementia. Symptoms also include depression, apathy, headache, fatigue and loss of memory (Jacob, 2006; EVM, 2002; IoM, 2000). ",Jacob (2006): ISBN 9781578812004; EVM (2002): link; IoM (2000): 10.17226/6015,,,,,,,,,,,,,,,,,,
Finished,Niacin contributes to the maintenance of normal mucous membranes,Art. 13(1),Niacin,Nutrient,Micronutrient,Food which is at least a source of niacin as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' as listed in Reg. No. 1924/2006,"16 mg

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 16 is 2,4","Matrix: food (general)
Must contain: niacin
- Unit: mg/100g or mg/100ml or mg/portion
- Value: ≥2,4",https://foodb.ca/compounds/FDB001014,,"Unit: mg/100g or mg/100ml or mg/portion
Value: ≥2,4",mg,"≥2,4",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Maintenance of normal mucous membranes,http://www.informatics.jax.org/vocab/gene_ontology/GO:0070701,Close Match,Maintenance of a function,Maintenance of normal skin and mucous membranes,"2009;7(9):1224, 2010;8(10):1757","A combined deficiency of niacin and tryptophan causes the classical symptoms of pellagra. The clinical features of pellagra are dermatitis, diarrhoea and dementia. The changes in the skin are among the most characteristic in humans. A pigmented rash develops symmetrically in areas of the skin exposed to sunlight. Changes in the digestive tract are associated with vomiting, constipation or diarrhoea, and a bright red tongue (Jacob, 2006; EVM, 2002; IoM, 2000; Bourgeois et al., 1999; SCF, 2002; SCF, 1993).",Jacob (2006): ISBN 9781578812004; EVM (2002):  link; IoM (2000): 10.17226/6015; Bourgeois et al. (1999): 10.1097/01.CCM.0000236502.51400.9F; SCF (2002): link; SCF (1993): link,,,,,,,,,,,,,,,,,,
Finished,Niacin contributes to the maintenance of normal skin ,Art. 13(1),Niacin,Nutrient,Micronutrient,Food which is at least a source of niacin as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' as listed in Reg. No. 1924/2006,"16 mg

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 16 is 2,4","Matrix: food (general)
Must contain: niacin
- Unit: mg/100g or mg/100ml or mg/portion
- Value: ≥2,4",https://foodb.ca/compounds/FDB001014,,"Unit: mg/100g or mg/100ml or mg/portion
Value: ≥2,4",mg,"≥2,4",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal skin,http://www.informatics.jax.org/vocab/gene_ontology/GO:0098773,Close Match,Maintenance of a function,Maintenance of normal skin and mucous membranes,"2009;7(9):1224, 2010;8(10):1757","A combined deficiency of niacin and tryptophan causes the classical symptoms of pellagra. The clinical features of pellagra are dermatitis, diarrhoea and dementia. The changes in the skin are among the most characteristic in humans. A pigmented rash develops symmetrically in areas of the skin exposed to sunlight. Changes in the digestive tract are associated with vomiting, constipation or diarrhoea, and a bright red tongue (Jacob, 2006; EVM, 2002; IoM, 2000; Bourgeois et al., 1999; SCF, 2002; SCF, 1993).",Jacob (2006): ISBN 9781578812004; EVM (2002):  link; IoM (2000): 10.17226/6015; Bourgeois et al. (1999): 10.1097/01.CCM.0000236502.51400.9F; SCF (2002): link; SCF (1993): link,,,,,,,,,,,,,,,,,,
Finished,Niacin contributes to the reduction of tiredness and fatigue,Art. 13(1),Niacin,Nutrient,Micronutrient,Food which is at least a source of niacin as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' as listed in Reg. No. 1924/2006,"16 mg

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 16 is 2,4","Matrix: food (general)
Must contain: niacin
- Unit: mg/100g or mg/100ml or mg/portion
- Value: ≥2,4",https://foodb.ca/compounds/FDB001014,,"Unit: mg/100g or mg/100ml or mg/portion
Value: ≥2,4",mg,"≥2,4",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Reduction of tiredness and fatigue,http://purl.bioontology.org/ontology/MEDDRA/10016256,Close Match,Enhancing a function,Reduction of tiredness and fatigue,2010;8(10):1757,"A combined deficiency of niacin and tryptophan causes the classical symptoms of pellagra. The clinical features of pellagra are dermatitis, diarrhoea and dementia. Symptoms also include depression, apathy, headache, fatigue and loss of memory (Jacob, 2006; EVM, 2002; IoM, 2000).",Jacob (2006): ISBN 9781578812004; EVM (2002): link; IoM (2000): 10.17226/6015,,,,,,,,,,,,,,,,,,
Finished,Oat grain fibre contributes to an increase in faecal bulk,Art. 13(1),Oat grain fibre,Nutrient,Macronutrient,May be used only for food which is high in fibre as referred to in the claim 'high fibre' (Reg. No. 1924/2006),"A claim that a food is high in fibre, and any claim likely to have the same meaning for the consumer, may only be made where the product contains at least 6 g of fibre per 100 g or at least 3 g of fibre per 100 (kcal.","Matrix: food (general)
Must contain: oat grain fibre
- Unit: g/100g
- Value: ≥6
or
- Unit: g/100kcal
- Value: ≥3",,,"Unit: g/100g
Value: ≥6
or
Unit: g/100kcal
Value: ≥3",g,resp. ≥6 and ≥3,resp. 100g and 100kcal,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Increase in faecal bulk,http://www.informatics.jax.org/vocab/gene_ontology/GO:0060450,Close Match,Enhancing a function,Increase in faecal bulk,2011;9(6):2249,"The evidence provided by consensus opinions/reports of authoritative bodies and reviews shows that there is good consensus on the role of cereal grain fibre, and in particular of cereal bran, in increasing faecal bulk in humans (Cummings et al., 2001; EFSA Panel on Dietetic Products Nutrition and Allergies (NDA), 2010a, 2010b, 2011). It is well established that the bulking effect of cereal fibre is closely related to the physico-chemical properties of the fibre, and thereby to the degree of fermentation by the gut microbiota in the large intestine. Insoluble dietary fibre is fermented to a lesser extent than soluble dietary fibre, and thereby leads to an increase in faecal bulking per se. The bulking effects of soluble dietary fibre are determined by the higher extent of fermentation, and thus an increase in the bacterial mass in faeces (bacteria contain about 80 % water) (Cummings et al., 2001). For cereal fibres, the average increase in faecal output per gram of dietary fibre consumed by humans is estimated to be 3.4 g for oat bran or oats, compared to 3.3 g for corn meal or corn bran and 5.4 g for wheat bran, and 3.5 g for cellulose (Cummings, 2001)",Cummings et al. (2001): 10.1093/ajcn/73.2.415s; EFSA Panel on Dietetic Products NDA (2010a): 10.2903/j.efsa.2010.1462; EFSA Panel on Dietetic Products NDA (2010b): 10.2903/j.efsa.2010.1817; EFSA Panel on Dietetic Products NDA (2011): 10.2903/j.efsa.2011.2258,,,,,,,,,,,,,,,,,,
