Claim,Food,Phenotype,Health relationship
Supplemental folic acid intake increases maternal folate status. Low maternal folate status is a risk factor in the development of neural tube defects in the developing foetus,['folic acid'],"['maternal folate status', 'neural tube defects', 'developing foetus']","['enhancing a function', 'reducing a risk factor']"
Barley beta-glucans has been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease,['Barley beta-glucans'],"['blood cholesterol', 'High cholesterol', 'risk factor', 'coronary heart disease']",['reducing a risk factor']
Chewing gum sweetened with 100% xylitol has been shown to reduce dental plaque. High content/level of dental plaque is a risk factor in the development of caries in children,['Chewing gum'],"['xylitol', 'dental plaque', 'risk factor', 'caries']","['reducing', 'a risk factor in the development of']"
Oat beta-glucan has been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease,['Oat beta-glucan'],"['blood cholesterol', 'High cholesterol', 'risk factor', 'coronary heart disease']","['reducing a risk factor', 'is a risk factor in the development of']"
Plant stanol esters have been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease.,['Plant stanol esters'],"['blood cholesterol', 'cholesterol', 'risk factor', 'coronary heart disease']","['reducing a risk factor', 'enhancing a function']"
Plant sterols and plant stanol esters have been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease. ,"['Plant sterols', 'plant stanol esters']","['blood cholesterol', 'cholesterol', 'risk factor', 'coronary heart disease']","['reducing a risk factor', 'a risk factor in the development of']"
Plant sterols have been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease.,['Plant sterols'],"['blood cholesterol', 'cholesterol', 'risk factor', 'coronary heart disease']",['reducing a risk factor']
Sugar-free chewing gum helps neutralise plaque acids. Plaque acids are a risk factor in the development of dental caries,['Sugar-free chewing gum'],"['plaque acids', 'risk factor', 'dental caries']","['neutralise', 'reducing a risk factor']"
Sugar-free chewing gum helps reduce tooth demineralisation. Tooth demineralisation is a risk factor in the development of dental caries. ,['Sugar-free chewing gum'],"['Tooth demineralisation', 'risk factor', 'development', 'dental caries']",['reducing a risk factor']
Calcium and vitamin D are needed for normal growth and development of bone in children,"['Calcium', 'vitamin D']","['growth and development of bone', 'children']","['enhancing a function', 'enhancing a function']"
Calcium is needed for normal growth and development of bone in children,['Calcium'],"['bone development', 'growth']",['maintenance of function']
Docosahexaenoic acid (DHA) intake contributes to the normal visual development of infants up to 12 months of age,['Docosahexaenoic acid'],"['visual development', 'infants', 'age']",['contributing to']
Docosahexaenoic acid (DHA) maternal intake contributes to the normal brain development of the foetus and breastfed infants,['Docosahexaenoic acid'],"['maternal', 'brain development', 'foetus', 'breastfed', 'infants']","['enhancing a function', 'maintenance of function']"
Docosahexaenoic acid (DHA) materrnal intake contributes to the normal development of the eye of the foetus and breastfed infants,['Docosahexaenoic acid'],"['maternal intake', 'normal development', 'eye', 'foetus', 'breastfed infants']","['maintenance of function', 'enhancing a function', 'reduces a risk factor', 'enhances a function', 'enhances a function']"
Essential fatty acids are needed for normal growth and development of children,['Essential fatty acids'],"['normal growth', 'development of children']","['maintenance of function', 'maintenance of function']"
Iodine contributes to the normal grrowth of children,['Iodine'],['normal growth of children'],['contributing to']
Iron contributes to normal cognitive development of children,['Iron'],"['cognitive development', 'children']",['maintenance of function']
Phosphorus is needed for the normal growth and development of bone in children,['Phosphorus'],"['bone', 'children']","['enhancing a function', 'enhancing a function']"
Protein is needed for normal growth and development of bone in children,['Protein'],"['normal growth', 'development of bone', 'children']","['maintenance of function', 'maintenance of function', 'maintenance of function']"
Vitamin D contributes to the normal function of the immune system in children,['Vitamin D'],"['immune system', 'children']",['enhancing a function']
Vitamin D is needed for normal growth and development of bone in children,['Vitamin D'],"['normal growth', 'development of bone', 'children']","['needed for', 'needed for']"
