Claim,predicted_label,dbpedia_iris,isFood,wiki_urls
Replacing saturated fats with unsaturated fats in the diet contributes to the maintenance of normal blood cholesterol levels [MUFA and PUFA are unsaturated fats],PUFA,['http://dbpedia.org/resource/Polyunsaturated_fatty_acid'],1,['http://en.wikipedia.org/wiki/Polyunsaturated_fatty_acid']
Riboflavin contributes to normal energy-yielding metabolism,Riboflavin,['http://dbpedia.org/resource/Riboflavin'],1,['http://en.wikipedia.org/wiki/Riboflavin']
Riboflavin contributes to normal functioning of the nervous system,riboflavin,['http://dbpedia.org/resource/Riboflavin'],1,['http://en.wikipedia.org/wiki/Riboflavin']
Riboflavin contributes to the maintenance of normal mucous membranes,Riboflavin,['http://dbpedia.org/resource/Riboflavin'],1,['http://en.wikipedia.org/wiki/Riboflavin']
Riboflavin contributes to the maintenance of normal red blood cells,Riboflavin,['http://dbpedia.org/resource/Riboflavin'],1,['http://en.wikipedia.org/wiki/Riboflavin']
Riboflavin contributes to the maintenance of normal skin,Riboflavin,['http://dbpedia.org/resource/Riboflavin'],1,['http://en.wikipedia.org/wiki/Riboflavin']
Riboflavin contrributes to the maintenance of normal vision,Riboflavin,['http://dbpedia.org/resource/Riboflavin'],1,['http://en.wikipedia.org/wiki/Riboflavin']
Riboflavin contributes to the normal metabolism of iron,Riboflavin,['http://dbpedia.org/resource/Riboflavin'],1,['http://en.wikipedia.org/wiki/Riboflavin']
Riboflavin contributes to the protection of cells from oxidative stress,Riboflavin,['http://dbpedia.org/resource/Riboflavin'],1,['http://en.wikipedia.org/wiki/Riboflavin']
Riboflavin contributes to the reduction of tiredness and fatigue,Riboflavin,['http://dbpedia.org/resource/Riboflavin'],1,['http://en.wikipedia.org/wiki/Riboflavin']
Rye fibre contributes to normal bowel function,Rye fibre,"['http://dbpedia.org/resource/Rye,_East_Sussex', 'http://dbpedia.org/resource/Fiber']",1,"['http://en.wikipedia.org/wiki/Rye,_East_Sussex', 'http://en.wikipedia.org/wiki/Fiber']"
Selenium contributes to normal spermatogenesis,Selenium,['http://dbpedia.org/resource/Selenium'],1,['http://en.wikipedia.org/wiki/Selenium']
Selenium contributes to the maintenance of normal hair,Selenium,['http://dbpedia.org/resource/Selenium'],1,['http://en.wikipedia.org/wiki/Selenium']
Selenium contributes to the maintenance of normal nails,Selenium,['http://dbpedia.org/resource/Selenium'],1,['http://en.wikipedia.org/wiki/Selenium']
Selenium contributes to the normal function of the immune system,Selenium,['http://dbpedia.org/resource/Selenium'],1,['http://en.wikipedia.org/wiki/Selenium']
Selenium contributes to the normal thyroid function,Selenium,['http://dbpedia.org/resource/Selenium'],1,['http://en.wikipedia.org/wiki/Selenium']
Selenium contributes to the protection of cells from oxidative stress,Selenium,['http://dbpedia.org/resource/Selenium'],1,['http://en.wikipedia.org/wiki/Selenium']
Substituting one daily meal of an energy restricted diet with a meal replacement contributes to the maintenance of weight after weight loss ,energy restricted diet,"['http://dbpedia.org/resource/Energy', 'http://dbpedia.org/resource/Endemism', 'http://dbpedia.org/resource/Diet_(nutrition)']",0,"['http://en.wikipedia.org/wiki/Energy', 'http://en.wikipedia.org/wiki/Endemism', 'http://en.wikipedia.org/wiki/Diet_(nutrition)']"
Substituting one daily meal of an energy restricted diet with a meal replacement contributes to the maintenance of weight after weight loss ,meal replacement,"['http://dbpedia.org/resource/Meal', 'http://dbpedia.org/resource/Meal_replacement', '']",1,"['http://en.wikipedia.org/wiki/Meal', 'http://en.wikipedia.org/wiki/Meal_replacement', 'http://en.wikipedia.org/wiki/Ersatz_good']"
Substituting two daily meals of an energy restricted diet with meal replacements contributes to weight loss ,meal replacements,"['http://dbpedia.org/resource/Meal', 'http://dbpedia.org/resource/Meal_replacement', 'http://dbpedia.org/resource/Strikebreaker']",1,"['http://en.wikipedia.org/wiki/Meal', 'http://en.wikipedia.org/wiki/Meal_replacement', 'http://en.wikipedia.org/wiki/Strikebreaker']"
Substituting two daily meals of an energy restricted diet with meal replacements contributes to weight loss ,energy restricted diet,"['http://dbpedia.org/resource/Energy', 'http://dbpedia.org/resource/Endemism', 'http://dbpedia.org/resource/Diet_(nutrition)']",0,"['http://en.wikipedia.org/wiki/Energy', 'http://en.wikipedia.org/wiki/Endemism', 'http://en.wikipedia.org/wiki/Diet_(nutrition)']"
Sugar-free chewing gum contributes to the maintenance of tooth mineralization,Sugar-free chewing gum,"['http://dbpedia.org/resource/Sugar_substitute', 'http://dbpedia.org/resource/Chewing_tobacco', 'http://dbpedia.org/resource/Chewing_gum']",1,"['http://en.wikipedia.org/wiki/Sugar_substitute', 'http://en.wikipedia.org/wiki/Chewing_tobacco', 'http://en.wikipedia.org/wiki/Chewing_gum']"
Sugar-free chewing gum contributes to the neutralisation of plaque acids,Sugar-free chewing gum,"['http://dbpedia.org/resource/Sugar_substitute', 'http://dbpedia.org/resource/Chewing_tobacco', 'http://dbpedia.org/resource/Chewing_gum']",1,"['http://en.wikipedia.org/wiki/Sugar_substitute', 'http://en.wikipedia.org/wiki/Chewing_tobacco', 'http://en.wikipedia.org/wiki/Chewing_gum']"
Sugar-free chewing gum contributes to the reduction of oral dryness,Sugar-free chewing gum,"['http://dbpedia.org/resource/Sugar_substitute', 'http://dbpedia.org/resource/Chewing_tobacco', 'http://dbpedia.org/resource/Chewing_gum']",1,"['http://en.wikipedia.org/wiki/Sugar_substitute', 'http://en.wikipedia.org/wiki/Chewing_tobacco', 'http://en.wikipedia.org/wiki/Chewing_gum']"
Sugar-free chewing gum with carbamide neutralises plaque acids more effectively than sugar-free chewing gums without carbamide ,Sugar-free chewing gum,"['http://dbpedia.org/resource/Sugar_substitute', 'http://dbpedia.org/resource/Chewing_tobacco', 'http://dbpedia.org/resource/Chewing_gum']",1,"['http://en.wikipedia.org/wiki/Sugar_substitute', 'http://en.wikipedia.org/wiki/Chewing_tobacco', 'http://en.wikipedia.org/wiki/Chewing_gum']"
Sugar-free chewing gum with carbamide neutralises plaque acids more effectively than sugar-free chewing gums without carbamide ,sugar-free chewing gums,"['http://dbpedia.org/resource/Sugar_substitute', 'http://dbpedia.org/resource/Chewing_tobacco', 'http://dbpedia.org/resource/Chewing_gum']",1,"['http://en.wikipedia.org/wiki/Sugar_substitute', 'http://en.wikipedia.org/wiki/Chewing_tobacco', 'http://en.wikipedia.org/wiki/Chewing_gum']"
Thiamine contributes to normal energy-yielding metabolism,Thiamine,['http://dbpedia.org/resource/Thiamine'],1,['http://en.wikipedia.org/wiki/Thiamine']
Thiamine contributes to normal functioning of the nervous system,Thiamine,['http://dbpedia.org/resource/Thiamine'],1,['http://en.wikipedia.org/wiki/Thiamine']
Thiamine contributes to normal psychological function,Thiamine,['http://dbpedia.org/resource/Thiamine'],1,['http://en.wikipedia.org/wiki/Thiamine']
Thiamine contributes to the normal function of the heart,Thiamine,['http://dbpedia.org/resource/Thiamine'],1,['http://en.wikipedia.org/wiki/Thiamine']
Vitamin A contributes to normal iron metabolism,Vitamin A,"['', 'http://dbpedia.org/resource/Retinol']",1,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_A']"
Vitamin A contributes to the maintenance of normal mucous membranes,Vitamin A,"['', 'http://dbpedia.org/resource/Retinol']",1,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_A']"
Vitamin A contributes to the maintenance of normal skin,Vitamin A,"['', 'http://dbpedia.org/resource/Retinol']",1,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_A']"
Vitamin A contributes to the maintenance of normal vision,Vitamin A,"['', 'http://dbpedia.org/resource/Retinol']",1,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_A']"
Vitamin A contributes to the normal function of the immune system,Vitamin A,"['', 'http://dbpedia.org/resource/Retinol']",1,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_A']"
Vitamin A has a role in the process of cell specialisation,Vitamin A,"['', 'http://dbpedia.org/resource/Retinol']",1,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_A']"
Vitamin B12 contributes to normal energy-yielding metabolism,Vitamin B12,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_B12']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_B12']"
Vitamin B12 contributes to normal functioning of the nervous system,Vitamin B12,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_B12']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_B12']"
Vitamin B12 contributes to normal homocysteine metabolism,Vitamin B12,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_B12']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_B12']"
Vitamin B12 contributes to normal psychological function,Vitamin B12,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_B12']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_B12']"
Vitamin B12 contributes to normal red blood cell formation,Vitamin B12,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_B12']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_B12']"
Vitamin B12 contributes to the normal function of the immune system,Vitamin B12,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_B12']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_B12']"
Vitamin B12 contributes to the reduction of tiredness and fatigue,Vitamin B12,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_B12']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_B12']"
Vitamin B12 has a role in the process of cell division,Vitamin B12,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_B12']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_B12']"
Vitamin B6 contributes to normal cysteine synthesis,Vitamin B6,"['', 'http://dbpedia.org/resource/Vitamin_B6']",0,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_B6']"
Vitamin B6 contributes to normal energy-yielding metabolism,Vitamin B6,"['', 'http://dbpedia.org/resource/Vitamin_B6']",0,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_B6']"
Vitamin B6 contributes to normal functioning of the nervous system,Vitamin B6,"['', 'http://dbpedia.org/resource/Vitamin_B6']",0,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_B6']"
Vitamin B6 contributes to normal homocysteine metabolism,Vitamin B6,"['', 'http://dbpedia.org/resource/Vitamin_B6']",0,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_B6']"
Vitamin B6 contributes to norrmal protein and glycogen metabolism,Vitamin B6,"['', 'http://dbpedia.org/resource/Vitamin_B6']",0,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_B6']"
Vitamin B6 contributes to normal psychological function,Vitamin B6,"['', 'http://dbpedia.org/resource/Vitamin_B6']",0,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_B6']"
Vitamin B6 contributes to normal red blood cell formation,Vitamin B6,"['', 'http://dbpedia.org/resource/Vitamin_B6']",0,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_B6']"
Vitamin B6 contributes to the normal function of the immune system,Vitamin B6,"['', 'http://dbpedia.org/resource/Vitamin_B6']",0,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_B6']"
Vitamin B6 contributes to the reduction of tiredness and fatigue,Vitamin B6,"['', 'http://dbpedia.org/resource/Vitamin_B6']",0,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_B6']"
Vitamin B6 contributes to the regulation of hormonal activity,Vitamin B6,"['', 'http://dbpedia.org/resource/Vitamin_B6']",0,"['http://en.wikipedia.org/wiki/Vitamin_(TV_series)', 'http://en.wikipedia.org/wiki/Vitamin_B6']"
Vitamin C contributes to maintain the normal function of the immune system during and after intense physical exercise ,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to normal collagen formation for the normal function of blood vessels,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to normal collagen formation for the normal function of bones,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to normal collagen formation for the normal function of cartilage,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to normal collagen formation for the normal function of gums,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to normal collagen formation for the normal function of skin,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to normal collagen formation for the normal function of teeth,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to normal energy-yielding metabolism,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to normal functioning of the nervous system,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to normal psychological function,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to the normal function of the immune system,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to the protection of cells from oxidative stress,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to the reduction of tiredness and fatigue,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to the regeneration of the reduced form of vitamin E,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin C contributes to the regeneration of the reduced form of vitamin E,vitamin E,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_E']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_E']"
Vitamin C increases iron absorption,Vitamin C,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_C']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_C']"
Vitamin D contributes to normal absorption/utilisation of calcium and phosphorus,Vitamin D,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_D']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_D']"
Vitamin D contributes to normal blood calcium levels,Vitamin D,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_D']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_D']"
Vitamin D contributes to the maintenance of normal bones,Vitamin D,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_D']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_D']"
Vitamin D contributes to the maintenance of normal muscle function,Vitamin D,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_D']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_D']"
Vitamin D contributes to the maintenance of normal teeth,Vitamin D,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_D']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_D']"
Vitamin D contributes to the normal function of the immune system,Vitamin D,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_D']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_D']"
Vitamin D has a role in the process of cell division,Vitamin D,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_D']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_D']"
Vitamin E contributes to the protection of cells from oxidative stress,Vitamin E,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_E']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_E']"
Vitamin K contributes to normal blood clotting,Vitamin K,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_K']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_K']"
Vitamin K contributes to the maintenance of normal bones,Vitamin K,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_K']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_K']"
Walnuts contribute to the improvement of the elasticity of blood vessels,Walnuts,['http://dbpedia.org/resource/Walnut'],1,['http://en.wikipedia.org/wiki/Walnut']
Water contributes to the maintenance of normal physical and cognitive functions,Water,['http://dbpedia.org/resource/Water'],1,['http://en.wikipedia.org/wiki/Water']
Water contributes to the maintenance of normal regulation of the body's temperature,Water,['http://dbpedia.org/resource/Water'],1,['http://en.wikipedia.org/wiki/Water']
Wheat bran fibre contributes to an acceleration of intestinal transit,Wheat bran fibre,"['http://dbpedia.org/resource/Wheat', 'http://dbpedia.org/resource/Bran', 'http://dbpedia.org/resource/Dietary_fiber']",1,"['http://en.wikipedia.org/wiki/Wheat', 'http://en.wikipedia.org/wiki/Bran', 'http://en.wikipedia.org/wiki/Dietary_fiber']"
Wheat bran fibre contributes to an increase in faecal bulk,Wheat bran fibre,"['http://dbpedia.org/resource/Wheat', 'http://dbpedia.org/resource/Bran', 'http://dbpedia.org/resource/Dietary_fiber']",1,"['http://en.wikipedia.org/wiki/Wheat', 'http://en.wikipedia.org/wiki/Bran', 'http://en.wikipedia.org/wiki/Dietary_fiber']"
Zinc contributes to normal DNA synthesis,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to normal acid-base metabolism,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to normal carbohydrate metabolism,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to normal cognitive function,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to normal fertility and reproduction,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to normal macronutrient metabolism,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to normal metabolism of fatty acids,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to normal metabolism of vitamin A,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to normal metabolism of vitamin A,vitamin A,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Retinol']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_A']"
Zinc contributes to normal protein synthesis,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to the maintenance of normal bones,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to the maintenance of normal hair,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to the maintenance of normal nails,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to the maintenance of normal skin,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to the maintenance of normal testosterone levels in the blood,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to the maintenance of normal vision,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to the normal function of the immune system,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc contributes to the protection of cells from oxidative stress,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Zinc has a role in the process of cell division,Zinc,['http://dbpedia.org/resource/Zinc'],0,['http://en.wikipedia.org/wiki/Zinc']
Carbohydrates contribute to the recovery of normal muscle function (contraction) after highly intensive and/or long-lasting physical exercise leading to muscle fatigue and the depletion of glycogen stores in skeletal muscle,Carbohydrates,['http://dbpedia.org/resource/Carbohydrate'],1,['http://en.wikipedia.org/wiki/Carbohydrate']
Consumption of foods/drinks containing [name of all used non-digestible carbohydrates] instead of sugars induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks,foods/drinks,"['http://dbpedia.org/resource/Food', '']",0,"['http://en.wikipedia.org/wiki/Food', 'http://en.wikipedia.org/wiki/Alcoholic_drink']"
Consumption of foods/drinks containing [name of all used non-digestible carbohydrates] instead of sugars induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks,non-digestible carbohydrates,['http://dbpedia.org/resource/Carbohydrate'],1,['http://en.wikipedia.org/wiki/Carbohydrate']
Consumption of foods/drinks containing [name of all used non-digestible carbohydrates] instead of sugars induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks,sugars,['http://dbpedia.org/resource/Sugar'],0,['http://en.wikipedia.org/wiki/Sugar']
Consumption of foods/drinks containing [name of all used non-fermentable carbohydrates] instead of fermentable carbohydrates contributes to the maintenance of tooth mineralisation,foods/drinks containing [name of all used non-fermentable carbohydrates],"['http://dbpedia.org/resource/Food', '', 'http://dbpedia.org/resource/Containment', 'http://dbpedia.org/resource/Bracket', 'http://dbpedia.org/resource/Carbohydrate']",1,"['http://en.wikipedia.org/wiki/Food', 'http://en.wikipedia.org/wiki/Alcoholic_drink', 'http://en.wikipedia.org/wiki/Containment', 'http://en.wikipedia.org/wiki/Bracket', 'http://en.wikipedia.org/wiki/Carbohydrate']"
Daily creatine consumption can enhance the effect of resistance training on muscle strength in adults over the age of 55,creatine,['http://dbpedia.org/resource/Creatine'],1,['http://en.wikipedia.org/wiki/Creatine']
Lactitol contributes to normal bowel function by increasing stool frequency,Lactitol,['http://dbpedia.org/resource/Lactitol'],1,['http://en.wikipedia.org/wiki/Lactitol']
Sugar beet fibre contributes to an increase in faecal bulk,Sugar beet fibre,"['http://dbpedia.org/resource/Sugar', 'http://dbpedia.org/resource/Sugar_beet', 'http://dbpedia.org/resource/Dietary_fiber']",1,"['http://en.wikipedia.org/wiki/Sugar', 'http://en.wikipedia.org/wiki/Sugar_beet', 'http://en.wikipedia.org/wiki/Dietary_fiber']"
Calcium and vitamin D help to reduce the loss of bone mineral in post-menopausal women. Low bone mineral density is a risk factor for osteoporotic bone fractures,Calcium,['http://dbpedia.org/resource/Calcium'],1,['http://en.wikipedia.org/wiki/Calcium']
Calcium and vitamin D help to reduce the loss of bone mineral in post-menopausal women. Low bone mineral density is a risk factor for osteoporotic bone fractures,vitamin D,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_D']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_D']"
Calcium helps to reduce the loss of bone mineral in post-menopausal women. Low bone mineral density is a risk factor for osteopootic bone fractures,Calcium,['http://dbpedia.org/resource/Calcium'],1,['http://en.wikipedia.org/wiki/Calcium']
Vitamin D helps to reduce the risk of falling associated with postural instability and muscle weakness. Falling is a risk factor for bone fractures among men and women 60 years of age and older,Vitamin D,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Vitamin_D']",1,"['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_D']"
Replacing saturated fats with unsaturated fats in the diet has been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development or coronary heart disease,saturated fats,"['http://dbpedia.org/resource/Saturated_fat', 'http://dbpedia.org/resource/Fat']",0,"['http://en.wikipedia.org/wiki/Saturated_fat', 'http://en.wikipedia.org/wiki/Fat']"
Replacing saturated fats with unsaturated fats in the diet has been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development or coronary heart disease,unsaturated fats,['http://dbpedia.org/resource/Fat'],0,['http://en.wikipedia.org/wiki/Fat']
Supplemental folic acid intake increases maternal folate status. Low maternal folate status is a risk factor in the development of neural tube defects in the developing foetus,folic acid,"['', 'http://dbpedia.org/resource/Carboxylic_acid']",1,"['http://en.wikipedia.org/wiki/Folate', 'http://en.wikipedia.org/wiki/Carboxylic_acid']"
